itin_id,slug,field,old_value,new_value,pct_change,queryA_value,queryB_value,queries_agree,literal_value_seen,sailing_id,source_url,retrieved_at,status,note
i0003,6n-west-caribbean-icon-galveston,price_interior,1339,1399,+4.5%,1398.51,1398.51,yes,"""price"":{""value"":1398.51}",2027-10 floor (3 sailings),https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,price_balcony,1501,1549,+3.2%,1548.51,1548.51,yes,"""price"":{""value"":1548.51}",2027-10 floor (3 sailings),https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-08.i,,1548,,1548.46,1548.46,yes,"""price"":{""value"":1548.46}",2027-08-16;2027-08-22,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-08.b,,1698,,1698.46,1698.46,yes,"""price"":{""value"":1698.46}",2027-08-16;2027-08-22,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-09.i,,1598,,1598.46,1598.46,yes,"""price"":{""value"":1598.46}",2027-09-05;2027-09-19,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-09.b,,1698,,1698.46,1698.46,yes,"""price"":{""value"":1698.46}",2027-09-05;2027-09-19,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-10.i,,1399,,1398.51,1398.51,yes,"""price"":{""value"":1398.51}",2027-10-03;2027-10-17;2027-10-31,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0003,6n-west-caribbean-icon-galveston,month_override 2027-10.b,,1549,,1548.51,1548.51,yes,"""price"":{""value"":1548.51}",2027-10-03;2027-10-17;2027-10-31,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,2026-08-15T13:18:14,verified,
i0004,8n-cococay-west-caribbean-galveston,price_interior,1757,1828,+4.0%,1828.46,1828.46,yes,"""price"":{""value"":1828.46}",2027-09 floor (2 sailings),https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,2026-08-15T13:18:14,verified,
i0004,8n-cococay-west-caribbean-galveston,price_balcony,1978,1979,+0.1%,1978.96,1978.96,yes,"""price"":{""value"":1978.96}",2027-09 floor (2 sailings),https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,2026-08-15T13:18:14,verified,
