itin_id,field,old_value,new_value,source_url,retrieved_at,literal_value_seen,confirm_source_url,confirm_retrieved_at,confirm_result,cache_files
i0003,price_balcony,1023,1501,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"stateroomClass BALCONY price.value 1501.01 USD (2027-10-31 sailing, lowest of 7 upcoming GAL sailings in this group)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:05+05:30,"agrees to the cent (same 7 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-IC.json
i0003,month_price_overrides,2027-08:i1527|b1688|2027-09:i1597|b1023|2027-10:i1339|b1501,2027-08:i1527|b1688|2027-09:i1597|b1669|2027-10:i1339|b1501,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"2027-08: INTERIOR 1526.96, BALCONY 1687.88 (min of 2 sailings); 2027-09: INTERIOR 1596.96, BALCONY 1669.46 (min of 2 sailings); 2027-10: INTERIOR 1338.51, BALCONY 1501.01 (min of 3 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:05+05:30,"agrees to the cent (same 7 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-IC.json
i0003,notes,"Re-verified 2026-07-29 on royalcaribbean.com (pkg IC06W319, 7 sailings): sail months corrected from 2026-09..11 to 2027-08..10; ports Cozumel, Roatan, Costa Maya; prices refreshed 2026-08-02 from the official cruiseSearch response (two independent queries agree to the cent), so the stale-seed caveat is closed; quad_cabins cleared, not shown in search data","Re-verified 2026-07-29 on royalcaribbean.com (pkg IC06W319, 7 sailings): sail months corrected from 2026-09..11 to 2027-08..10; ports Cozumel, Roatan, Costa Maya; prices refreshed 2026-08-02 from the official cruiseSearch response (two independent queries agree to the cent), so the stale-seed caveat is closed; quad_cabins cleared, not shown in search data | 2026-08-10: the 2027-09 balcony anomaly is gone - that month's lowest balcony now reads 1669.46 (2027-09-19 sailing), back above its interior, and both independent fetches agree to the cent; the row-level balcony lead-in rises 1022.96 to 1501.01.","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,evidence recorded in the row's own notes field; see new_value,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:05+05:30,"agrees to the cent (same 7 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-IC.json
i0003,date_checked,2026-08-05,2026-08-10,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,7 upcoming GAL sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]),"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:05+05:30,"agrees to the cent (same 7 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-IC.json
i0004,date_checked,2026-08-05,2026-08-10,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,6 upcoming GAL sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]),"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:IC"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:05+05:30,"agrees to the cent (same 6 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-IC.json
i0005,price_interior,379,369,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"stateroomClass INTERIOR price.value 368.94 USD (2026-09-14 sailing, lowest of 9 upcoming GAL sailings in this group)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:15+05:30,"agrees to the cent (same 9 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-MA.json
i0005,price_balcony,760,519,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"stateroomClass BALCONY price.value 518.94 USD (2026-09-14 sailing, lowest of 9 upcoming GAL sailings in this group)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:15+05:30,"agrees to the cent (same 9 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-MA.json
i0005,month_price_overrides,2026-08:i514|b900|2026-09:i379|b760|2026-10:i418|b768,2026-08:i514|b778|2026-09:i369|b519|2026-10:i418|b748,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"2026-08: INTERIOR 513.94, BALCONY 778.44 (min of 2 sailings); 2026-09: INTERIOR 368.94, BALCONY 518.94 (min of 4 sailings); 2026-10: INTERIOR 418.12, BALCONY 748.18 (min of 3 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:15+05:30,"agrees to the cent (same 9 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-MA.json
i0005,date_checked,2026-08-05,2026-08-10,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,9 upcoming GAL sailings retrieved from the official cruiseSearch response (taxesAndFeesIncluded=[True]),"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:MA"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:15+05:30,"agrees to the cent (same 9 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-MA.json
i0006,month_price_overrides,2026-10:i452|b848|2026-11:i494|b748|2026-12:i495|b768|2027-01:i510|b648|2027-02:i477|b778|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,2026-10:i452|b838|2026-11:i471|b711|2026-12:i495|b768|2027-01:i506|b648|2027-02:i477|b778|2027-03:i573|b809|2027-04:i525|b868|2027-05:i643|b840|2027-06:i816|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,"https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""departurePort:GAL"" pagination:{count:50,skip:0}",2026-08-10T19:39:34+05:30,"2026-10: INTERIOR 451.56, BALCONY 837.56 (min of 1 sailing); 2026-11: INTERIOR 471.28, BALCONY 710.56 (min of 4 sailings); 2026-12: INTERIOR 495.35, BALCONY 767.85 (min of 3 sailings); 2027-01: INTERIOR 505.59, BALCONY 647.59 (min of 4 sailings); 2027-02: INTERIOR 477.09, BALCONY 778.43 (min of 4 sailings); 2027-03: INTERIOR 573.09, BALCONY 808.59 (min of 5 sailings); 2027-04: INTERIOR 525.44, BALCONY 867.94 (min of 4 sailings); 2027-05: INTERIOR 642.60, BALCONY 839.51 (min of 5 sailings); 2027-06: INTERIOR 815.51, BALCONY 1076.60 (min of 4 sailings); 2027-07: INTERIOR 812.79, BALCONY 1010.40 (min of 4 sailings); 2027-08: INTERIOR 479.28, BALCONY 729.78 (min of 4 sailings); 2027-09: INTERIOR 473.24, BALCONY 723.24 (min of 4 sailings); 2027-10: INTERIOR 473.08, BALCONY 755.74 (min of 5 sailings); 2027-11: INTERIOR 472.33, BALCONY 722.33 (min of 4 sailings); 2027-12: INTERIOR 472.33, BALCONY 722.33 (min of 2 sailings); 2028-01: INTERIOR 473.95, BALCONY 723.95 (min of 4 sailings); 2028-02: INTERIOR 577.96, BALCONY 880.96 (min of 3 sailings); 2028-03: INTERIOR 668.46, BALCONY 940.96 (min of 4 sailings); 2028-04: INTERIOR 620.91, BALCONY 903.41 (min of 2 sailings)","https://www.royalcaribbean.com/graph | POST cruiseSearch filters:""ship:LB"" pagination:{count:200,skip:0} (fleet-wide, filtered client-side to departurePort GAL)",2026-08-10T19:40:10+05:30,"agrees to the cent (same 70 sailings, same month minima, same lead-in fares)",lp-system/out/cache/2026-08-10/graph-departurePort-GAL.json; lp-system/out/cache/2026-08-10/graph-confirm-ship-LB.json
