itin_id,field,old_value,new_value,source,retrieved_at,literal_value_seen
i0003,price_balcony,1621,1173,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,USD 1172.96 (lowest upcoming lead-in across sail months)
i0003,month_price_overrides,2027-08:i1639|b1838|2027-09:i1709|b1719,2027-08:i1639|b1838|2027-09:i1709|2027-10:b1621,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,monthly minima: 2027-08: interior 1639.46 / balcony 1837.88; 2027-09: interior 1709.46 / balcony 1172.96; 2027-10: interior 1390.51 / balcony 1621.01
i0003,date_checked,2026-07-29,2026-07-30,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC06GAL-1251154778; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,re-verified at source 2026-07-30T16:00:23
i0004,date_checked,2026-07-29,2026-07-30,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=IC08GAL-3243125344; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,re-verified at source 2026-07-30T16:00:23
i0005,price_interior,398,379,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,USD 378.94 (lowest upcoming lead-in across sail months)
i0005,price_balcony,566,644,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,USD 643.68 (lowest upcoming lead-in across sail months)
i0005,month_price_overrides,2026-08:i448|b598|2026-10:i456|b794,2026-08:i444|2026-09:b704|2026-10:i418|b768,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,monthly minima: 2026-08: interior 443.68 / balcony 643.68; 2026-09: interior 378.94 / balcony 703.87; 2026-10: interior 418.12 / balcony 768.12
i0005,date_checked,2026-07-29,2026-07-30,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=MA05GAL-2956042404; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,re-verified at source 2026-07-30T16:00:23
i0006,date_checked,2026-07-29,2026-07-30,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB05GAL-2956042566; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,re-verified at source 2026-07-30T16:00:23
i0007,month_price_overrides,2026-11:b744|2026-12:i536|b831|2027-01:i605|2027-02:i554|b759|2027-03:i524|b807|2027-04:i556|b874|2027-05:i605|b839|2027-06:i721|b966|2027-07:i699|b914|2027-08:i532|b820|2027-09:i511|b799|2027-10:i511|b799|2027-11:i512|b800|2027-12:i512|b800|2028-01:i512|b800|2028-02:i624|b974|2028-03:i634|b995|2028-04:i655|b1021,2026-11:b796|2026-12:i536|b831|2027-01:i605|2027-02:i554|b759|2027-03:i524|b807|2027-04:i556|b874|2027-05:i605|b839|2027-06:i721|b966|2027-07:i699|b914|2027-08:i532|b820|2027-09:i511|b799|2027-10:i511|b799|2027-11:i512|b800|2027-12:i512|b800|2028-01:i512|b800|2028-02:i624|b974|2028-03:i634|b995|2028-04:i655|b1021,https://www.royalcaribbean.com/graph cruiseSearch filters=departurePort:GAL groupId=LB04GAL-597171099; raw response cached at lp-system/out/cache/2026-07-30/graph-departurePort-GAL.json,2026-07-30T16:00:23,monthly minima: 2026-11: interior 481.59 / balcony 795.99; 2026-12: interior 536.12 / balcony 831.12; 2027-01: interior 604.76 / balcony 719.26; 2027-02: interior 553.76 / balcony 759.26; 2027-03: interior 523.76 / balcony 806.76; 2027-04: interior 555.81 / balcony 874.31; 2027-05: interior 604.81 / balcony 839.31; 2027-06: interior 720.81 / balcony 966.31; 2027-07: interior 699.26 / balcony 913.76; 2027-08: interior 531.55 / balcony 820.05; 2027-09: interior 511.05 / balcony 799.05; 2027-10: interior 511.05 / balcony 799.05; 2027-11: interior 512 / balcony 800; 2027-12: interior 512 / balcony 800; 2028-01: interior 512 / balcony 800; 2028-02: interior 624.28 / balcony 974.28; 2028-03: interior 634.28 / balcony 994.78; 2028-04: interior 654.78 / balcony 1021.28
