itin_id,slug,field,old_value,new_value,pct_change,queryA_value,queryB_value,queries_agree,literal_value_seen,sailing_id,source_url,retrieved_at,status,note
i0003,6n-west-caribbean-icon-galveston,price_interior,1399,1250,-10.7%,1249.51,1249.51,yes,"""price"":{""value"":1249.51}","2027-10 floor, 2027-10-17",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0003,6n-west-caribbean-icon-galveston,price_balcony,1549,1450,-6.4%,1450.01,1450.01,yes,"""price"":{""value"":1450.01}","2027-10 floor, 2027-10-17",https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0003,6n-west-caribbean-icon-galveston,month_price_overrides,2027-08:i1548|b1698|2027-09:i1598|b1698|2027-10:i1399|b1549,2027-08:i1349|b1549|2027-09:i1279|b1479|2027-10:i1250|b1450,n/a,,,yes,n/a,3 months re-derived from source,https://www.royalcaribbean.com/itinerary/6-night-western-caribbean-from-galveston-on-icon-IC06W319?sailDate=2027-10-03&packageCode=IC06W319&groupId=IC06GAL-1251154778&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0004,8n-cococay-west-caribbean-galveston,price_interior,1828,1629,-10.9%,1629.46,1629.46,yes,"""price"":{""value"":1629.46}","2027-09 floor, 2027-09-25",https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0004,8n-cococay-west-caribbean-galveston,price_balcony,1979,1830,-7.5%,1829.96,1829.96,yes,"""price"":{""value"":1829.96}","2027-09 floor, 2027-09-25",https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0004,8n-cococay-west-caribbean-galveston,month_price_overrides,2027-08:i2098|b2249|2027-09:i1828|b1979|2027-10:i1898|b2049|2027-11:i1898|b2049,2027-08:i1849|b2049|2027-09:i1629|b1830|2027-10:i1699|b1900|2027-11:i1749|b1950,n/a,,,yes,n/a,4 months re-derived from source,https://www.royalcaribbean.com/itinerary/8-night-perfect-day-cococay-west-carib-from-galveston-on-icon-IC08W072?sailDate=2027-10-23&packageCode=IC08W072&groupId=IC08GAL-3243125344&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:38Z,verified,
i0005,5n-west-caribbean-mariner-galveston,price_interior,399,418,+4.8%,418.12,418.12,yes,"""price"":{""value"":418.12}","2026-10 floor, 2026-10-03",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:55Z,verified,
i0005,5n-west-caribbean-mariner-galveston,price_balcony,549,889,+61.9%,889.14,889.14,yes,"""price"":{""value"":889.14}","2026-10 floor, 2026-10-17",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:55Z,verified,
i0005,5n-west-caribbean-mariner-galveston,sail_months,2026-08;2026-09;2026-10,2026-09;2026-10,n/a,,,yes,n/a,5 sailings in group MA05GAL-2956042404,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:55Z,verified,past/absent months purged
i0005,5n-west-caribbean-mariner-galveston,month_price_overrides,2026-08:i449|b868|2026-09:i399|b549|2026-10:i469|b836,2026-09:i551|b1109|2026-10:i418|b889,n/a,,,yes,n/a,2 months re-derived from source,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:55Z,verified,
i0005,5n-west-caribbean-mariner-galveston,season_note,Mariner sails this route Aug-Oct 2026,Mariner sails this route Sep-Oct 2026,n/a,,,yes,n/a,5 sailings in group MA05GAL-2956042404,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-mariner-MA05W679?sailDate=2026-09-14&packageCode=MA05W679&groupId=MA05GAL-2956042404&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:55Z,verified,existing text named a departure window that no longer returns from source
i0006,5n-west-caribbean-liberty-galveston,price_interior,439,364,-17.1%,364.44,364.44,yes,"""price"":{""value"":364.44}","2027-01 floor, 2027-01-09",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:47Z,verified,
i0006,5n-west-caribbean-liberty-galveston,price_balcony,596,684,+14.8%,683.94,683.94,yes,"""price"":{""value"":683.94}","2027-01 floor, 2027-01-23",https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:47Z,verified,
i0006,5n-west-caribbean-liberty-galveston,month_price_overrides,2026-10:i439|b670|2026-11:i479|b698|2026-12:i470|b765|2027-01:i469|b596|2027-02:i477|b721|2027-03:i508|b704|2027-04:i525|b898|2027-05:i643|b840|2027-06:i830|b1077|2027-07:i813|b1010|2027-08:i479|b730|2027-09:i473|b723|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i474|b724|2028-02:i578|b881|2028-03:i668|b941|2028-04:i621|b903,2026-10:i399|b949|2026-11:i449|b929|2026-12:i531|b869|2027-01:i364|b684|2027-02:i399|b699|2027-03:i545|b950|2027-04:i479|b779|2027-05:i585|b798|2027-06:i831|b1077|2027-07:i813|b1064|2027-08:i510|b760|2027-09:i501|b751|2027-10:i473|b756|2027-11:i472|b722|2027-12:i472|b722|2028-01:i536|b824|2028-02:i640|b981|2028-03:i731|b1041|2028-04:i683|b1003,n/a,,,yes,n/a,19 months re-derived from source,https://www.royalcaribbean.com/itinerary/5-night-western-caribbean-cruise-from-galveston-on-liberty-LB05W648?sailDate=2026-12-07&packageCode=LB05W648&groupId=LB05GAL-2956042566&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:47Z,verified,
i0007,4n-west-caribbean-liberty-galveston,price_interior,449,426,-5.1%,426.26,426.26,yes,"""price"":{""value"":426.26}","2027-01 floor, 2027-01-28",https://www.royalcaribbean.com/itinerary/4-night-western-caribbean-cruise-from-galveston-on-liberty-LB04W201?sailDate=2026-11-05&packageCode=LB04W201&groupId=LB04GAL-597171099&country=USA,A 2026-09-15T07:55:22Z / B 2026-09-15T07:55:47Z,verified,
